size,package,time,computer
high,fread,2.733309030532837,lance
high,import,3.054835081100464,lance
high,readr,4.5499420166015625,lance
mid,fread,2.515373945236206,lance
mid,import,0.891340970993042,lance
mid,readr,1.3215100765228271,lance
low,fread,1.5939650535583496,lance
low,import,0.41707706451416016,lance
low,readr,0.6524829864501953,lance
high,fread,1.9517669677734375,lance
high,import,3.50639009475708,lance
high,readr,4.008939981460571,lance
mid,fread,2.0364768505096436,lance
mid,import,1.0037510395050049,lance
mid,readr,1.35416579246521,lance
low,fread,0.5952270030975342,lance
low,import,0.824470043182373,lance
low,readr,0.7835688591003418,lance
high,fread,1.7801668643951416,lance
high,import,3.183349847793579,lance
high,readr,3.7500290870666504,lance
mid,fread,20.374696016311646,lance
mid,import,1.1945738792419434,lance
mid,readr,1.192073106765747,lance
low,fread,0.6585390567779541,lance
low,import,0.4737849235534668,lance
low,readr,0.5520131587982178,lance
high,fread,1.630458116531372,lance
high,import,3.6985089778900146,lance
high,readr,3.8621368408203125,lance
mid,fread,3.078094959259033,lance
mid,import,0.8027610778808594,lance
mid,readr,1.1114239692687988,lance
low,fread,1.4481210708618164,lance
low,import,0.6264481544494629,lance
low,readr,0.5421140193939209,lance
high,fread,2.8916049003601074,lance
high,import,3.2301812171936035,lance
high,readr,28.333719968795776,lance
mid,fread,2.1451900005340576,lance
mid,import,0.8329260349273682,lance
mid,readr,1.3398370742797852,lance
low,fread,0.5823709964752197,lance
low,import,0.4028480052947998,lance
low,readr,0.5963659286499023,lance
high,fread,3.2238759994506836,lance
high,import,3.723227024078369,lance
high,readr,10.011803150177002,lance
mid,fread,0.8866541385650635,lance
mid,import,0.8875288963317871,lance
mid,readr,1.295590877532959,lance
low,fread,0.5278568267822266,lance
low,import,0.4616379737854004,lance
low,readr,0.5827898979187012,lance
high,fread,3.3549790382385254,lance
high,import,3.57702898979187,lance
high,readr,6.695940971374512,lance
mid,fread,0.8103229999542236,lance
mid,import,0.9144799709320068,lance
mid,readr,1.1378271579742432,lance
low,fread,0.48833203315734863,lance
low,import,0.6795289516448975,lance
low,readr,0.7843410968780518,lance
high,fread,3.5410590171813965,lance
high,import,3.2710509300231934,lance
high,readr,7.580729961395264,lance
mid,fread,0.932401180267334,lance
mid,import,0.994347095489502,lance
mid,readr,1.2522878646850586,lance
low,fread,0.6336510181427002,lance
low,import,0.3699378967285156,lance
low,readr,0.6467978954315186,lance
high,fread,3.215955972671509,lance
high,import,3.640857219696045,lance
high,readr,14.027442932128906,lance
mid,fread,1.0728578567504883,lance
mid,import,0.9054560661315918,lance
mid,readr,1.1854510307312012,lance
low,fread,0.644171953201294,lance
low,import,0.3930799961090088,lance
low,readr,0.6278979778289795,lance
high,fread,3.557729959487915,lance
high,import,3.1716549396514893,lance
high,readr,3.3632571697235107,lance
mid,fread,2.0631630420684814,lance
mid,import,0.877877950668335,lance
mid,readr,1.1603939533233643,lance
low,fread,0.4963061809539795,lance
low,import,0.39212799072265625,lance
low,readr,0.5713951587677002,lance
high,fread,3.549309015274048,lance
high,import,3.2800679206848145,lance
high,readr,4.906023979187012,lance
mid,fread,0.855294942855835,lance
mid,import,1.1072039604187012,lance
mid,readr,1.2347731590270996,lance
low,fread,0.48294901847839355,lance
low,import,0.60036301612854,lance
low,readr,0.6234409809112549,lance
high,fread,3.2649381160736084,lance
high,import,3.2485721111297607,lance
high,readr,3.483389139175415,lance
mid,fread,1.6927580833435059,lance
mid,import,0.9934430122375488,lance
mid,readr,1.08546781539917,lance
low,fread,0.48589205741882324,lance
low,import,0.34629297256469727,lance
low,readr,0.631303071975708,lance
high,fread,3.2583160400390625,lance
high,import,3.2988510131835937,lance
high,readr,5.67153787612915,lance
mid,fread,1.1393840312957764,lance
mid,import,0.9131679534912109,lance
mid,readr,1.252629041671753,lance
low,fread,0.4999558925628662,lance
low,import,0.40322208404541016,lance
low,readr,0.625830888748169,lance
high,fread,3.340803861618042,lance
high,import,3.9475388526916504,lance
high,readr,3.134552001953125,lance
mid,fread,1.0433449745178223,lance
mid,import,1.0553851127624512,lance
mid,readr,1.1633801460266113,lance
low,fread,0.6502320766448975,lance
low,import,0.4023139476776123,lance
low,readr,0.6111040115356445,lance
high,fread,3.717590093612671,lance
