size,package,time,computer
high,fread,8.865559101104736,quang
high,import,3.4716439247131348,quang
high,readr,1.6520719528198242,quang
mid,fread,5.6196370124816895,quang
mid,import,1.5549118518829346,quang
mid,readr,1.0250799655914307,quang
low,fread,2.289469003677368,quang
low,import,0.7497658729553223,quang
low,readr,0.36829090118408203,quang
high,fread,8.966809034347534,quang
high,import,3.398995876312256,quang
high,readr,2.3989579677581787,quang
mid,fread,1.560671091079712,quang
mid,import,1.6847481727600098,quang
mid,readr,1.6742680072784424,quang
low,fread,0.6578738689422607,quang
low,import,0.6554360389709473,quang
low,readr,0.38639187812805176,quang
high,fread,8.520244121551514,quang
high,import,2.9712090492248535,quang
high,readr,3.0180349349975586,quang
mid,fread,1.5417561531066895,quang
mid,import,1.6631200313568115,quang
mid,readr,0.7764158248901367,quang
low,fread,0.6549160480499268,quang
low,import,0.6450901031494141,quang
low,readr,0.37258076667785645,quang
high,fread,8.379552125930786,quang
high,import,3.375194787979126,quang
high,readr,3.5775439739227295,quang
mid,fread,1.6319990158081055,quang
mid,import,1.7596139907836914,quang
mid,readr,0.773838996887207,quang
low,fread,0.6562988758087158,quang
low,import,0.64375901222229,quang
low,readr,0.3624861240386963,quang
high,fread,8.568476915359497,quang
high,import,4.818353176116943,quang
high,readr,4.049798965454102,quang
mid,fread,1.6210601329803467,quang
mid,import,1.5478599071502686,quang
mid,readr,0.7634499073028564,quang
low,fread,0.6546261310577393,quang
low,import,0.6534371376037598,quang
low,readr,0.34569811820983887,quang
high,fread,8.46456003189087,quang
high,import,3.506743907928467,quang
high,readr,3.694912910461426,quang
mid,fread,1.8979129791259766,quang
mid,import,1.6176140308380127,quang
mid,readr,0.764150857925415,quang
low,fread,0.6770319938659668,quang
low,import,0.663201093673706,quang
low,readr,0.374298095703125,quang
high,fread,8.846088886260986,quang
high,import,2.8226280212402344,quang
high,readr,2.0161609649658203,quang
mid,fread,1.5222139358520508,quang
mid,import,2.0123939514160156,quang
mid,readr,0.7706718444824219,quang
low,fread,0.6441559791564941,quang
low,import,0.6595139503479004,quang
low,readr,0.3628959655761719,quang
high,fread,9.675776958465576,quang
high,import,2.5909130573272705,quang
high,readr,2.5590250492095947,quang
mid,fread,1.5205340385437012,quang
mid,import,1.6093618869781494,quang
mid,readr,0.8637909889221191,quang
low,fread,0.6430480480194092,quang
low,import,0.8289201259613037,quang
low,readr,0.36269307136535645,quang
high,fread,8.735243082046509,quang
high,import,3.5746960639953613,quang
high,readr,3.384683847427368,quang
mid,fread,1.5158782005310059,quang
mid,import,1.5842318534851074,quang
mid,readr,0.8677260875701904,quang
low,fread,0.6406550407409668,quang
