size,package,time,computer
high,fread,4.631041049957275,rob
high,import,0.8201839923858643,rob
high,readr,1.6275911331176758,rob
mid,fread,3.554047107696533,rob
mid,import,0.5981409549713135,rob
mid,readr,0.854179859161377,rob
low,fread,0.6842310428619385,rob
low,import,0.2380528450012207,rob
low,readr,0.4521150588989258,rob
high,fread,1.918442964553833,rob
high,import,1.1017508506774902,rob
high,readr,1.2772870063781738,rob
mid,fread,9.17814302444458,rob
mid,import,1.0362741947174072,rob
mid,readr,0.7671859264373779,rob
low,fread,16.0085928440094,rob
low,import,0.225053071975708,rob
low,readr,0.3820760250091553,rob
high,fread,1.4763219356536865,rob
high,import,0.8301880359649658,rob
high,readr,3.6838319301605225,rob
mid,fread,1.087244987487793,rob
mid,import,0.60515594482421875,rob
mid,readr,0.8211860656738281,rob
low,fread,3.0637049674987793,rob
low,import,0.22506308555603027,rob
low,readr,0.4231081008911133,rob
high,fread,1.3682889938354492,rob
high,import,1.117264986038208,rob
high,readr,1.2242701053619385,rob
mid,fread,0.9752278327941895,rob
mid,import,0.5161299705505371,rob
mid,readr,0.8541791439056396,rob
low,fread,0.6961569786071777,rob
low,import,0.2320418357849121,rob
low,readr,0.3780679702758789,rob
high,fread,1.0242300033569336,rob
high,import,0.7971920967102051,rob
high,readr,1.2532808780670166,rob
mid,fread,1.1802589893341064,rob
mid,import,0.5121040344238281,rob
mid,readr,0.8022217750549316,rob
low,fread,0.2560582160949707,rob
low,import,0.2420511245727539,rob
low,readr,0.6501610279083252,rob
high,fread,0.9955370426177979,rob
high,import,1.1132469177246094,rob
high,readr,1.196263074874878,rob
mid,fread,1.1662631034851074,rob
mid,import,0.4921081066131592,rob
mid,readr,1.299286127090454,rob
low,fread,0.2770497798919678,rob
low,import,0.2340531349182129,rob
low,readr,0.40908098220825195,rob
high,fread,1.121264934539795,rob
high,import,1.0602390766143799,rob
high,readr,1.1982839107513428,rob
mid,fread,1.5427298545837402,rob
mid,import,0.6371588706970215,rob
mid,readr,0.7731740474700928,rob
low,fread,0.29507923126220703,rob
low,import,0.22805190086364746,rob
low,readr,0.39108705520629883,rob
high,fread,1.008234977722168,rob
high,import,0.7911779880523682,rob
high,readr,1.790403127670288,rob
mid,fread,0.7931909561157227,rob
mid,import,0.49809813499450684,rob
mid,readr,0.8531999588012695,rob
low,fread,0.28907084465026855,rob
low,import,0.22605204582214355,rob
low,readr,0.39514780044555664,rob
high,fread,0.982292890548706,rob
high,import,1.0632410049438477,rob
high,readr,1.2512719631195068,rob
mid,fread,0.6201291084289551,rob
mid,import,0.5171308517456055,rob
mid,readr,0.828192949295044,rob
low,fread,0.29004502296447754,rob
low,import,0.47810792922973633,rob
low,readr,0.3801250457763672,rob
high,fread,0.8291730880737305,rob
high,import,0.7930190563201904,rob
high,readr,1.3143038749694824,rob
mid,fread,0.5921339988708496,rob
mid,import,0.6951501369476318,rob
mid,readr,0.8281741142272949,rob
low,fread,0.27306294441223145,rob
low,import,0.23405218124389648,rob
low,readr,0.5150980949401855,rob
high,fread,1.0732450485229492,rob
high,import,0.8372030258178711,rob
high,readr,21.003467082977295,rob
mid,fread,0.7011580467224121,rob
mid,import,0.504119873046875,rob
mid,readr,1.118257999420166,rob
low,fread,0.7941811084747314,rob
low,import,0.22605299949645996,rob
low,readr,0.41309499740600586,rob
high,fread,0.7681698799133301,rob
high,import,0.863182783126831,rob
high,readr,22.066977977752686,rob
mid,fread,0.6481449604034424,rob
mid,import,0.5101020336151123,rob
mid,readr,0.8491840362548828,rob
low,fread,0.7181599140167236,rob
low,import,0.2360529899597168,rob
low,readr,0.39508986473083496,rob
high,fread,1.0752670764923096,rob
high,import,0.8632030487060547,rob
high,readr,4.907134056091309,rob
mid,fread,0.8191969394683838,rob
mid,import,0.54413604736328125,rob
mid,readr,0.819199800491333,rob
low,fread,0.2980690002441406,rob
low,import,0.22504901885986328,rob
low,readr,0.39809679985046387,rob
high,fread,0.775183916091919,rob
high,import,1.1662631034851074,rob
high,readr,1.3793199062347412,rob
mid,fread,1.1312549114227295,rob
mid,import,0.642146110534668,rob
mid,readr,0.7881641387939453,rob
low,fread,0.40408897399902344,rob
low,import,0.22804999351501465,rob
low,readr,0.49811720848083496,rob
high,fread,1.104288101196289,rob
high,import,0.7912020683288574,rob
high,readr,1.2462830543518066,rob
mid,fread,0.5881321430206299,rob
mid,import,0.5271179676055908,rob
mid,readr,0.813187837600708,rob
low,fread,0.733165979385376,rob
low,import,0.24205589294433594,rob
low,readr,0.3900899887084961,rob
high,fread,0.8311910629272461,rob
high,import,0.7911639213562012,rob
high,readr,3.321791887283325,rob
mid,fread,0.5831310749053955,rob
mid,import,0.520117998123169,rob
mid,readr,0.8041930198669434,rob
low,fread,1.1052508354187012,rob
low,import,0.22005009651184082,rob
low,readr,0.40007495880126953,rob
high,fread,1.0732409954071045,rob
high,import,0.8592090606689453,rob
high,readr,3.2717349529266357,rob
mid,fread,0.5961358547210693,rob
mid,import,0.811182975769043,rob
mid,readr,1.1782500743865967,rob
low,fread,0.2310640811920166,rob
low,import,0.23005294799804688,rob
low,readr,0.3980898857116699,rob
high,fread,0.9832260608673096,rob
high,import,0.9242289066314697,rob
high,readr,1.3853139877319336,rob
mid,fread,0.7151820659637451,rob
mid,import,0.4971139430999756,rob
mid,readr,0.8472089767456055,rob
low,fread,0.22803997993469238,rob
low,import,0.22605013847351074,rob
low,readr,0.4111001491546631,rob
high,fread,0.7875008583068848,rob
high,import,0.7971601486206055,rob
high,readr,1.8276171684265137,rob
mid,fread,0.5151171684265137,rob
mid,import,0.49709606170654297,rob
mid,readr,0.8281669616699219,rob
low,fread,0.2250509262084961,rob
low,import,0.23005390167236328,rob
low,readr,0.5351150035858154,rob
high,fread,1.085245132446289,rob
high,import,0.8782000541687012,rob
high,readr,3.723979949951172,rob
mid,fread,0.5471358299255371,rob
mid,import,0.5041332244873047,rob
mid,readr,0.8362040519714355,rob
low,fread,0.2420520782470703,rob
low,import,0.3450791835784912,rob
low,readr,0.38408493995666504,rob
